City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,aranos,-24.1333,19.1167,298.94,15,6,2.44,NA,1667464103
1,itarema,-2.9248,-39.9167,299.01,79,88,4.52,BR,1667464104
2,mataura,-46.1927,168.8643,283.23,72,7,4.0,NZ,1667463934
3,awjilah,29.1081,21.2869,293.94,57,0,2.09,LY,1667464105
4,yellowknife,62.456,-114.3525,261.44,85,100,10.29,CA,1667464011
5,oranjemund,-28.55,16.4333,292.05,62,0,5.12,NA,1667464106
6,hay river,60.8156,-115.7999,261.14,85,75,5.14,CA,1667464106
7,mar del plata,-38.0023,-57.5575,284.87,92,40,4.02,AR,1667463960
8,sorong,-0.8833,131.25,302.69,72,57,1.82,ID,1667464107
9,alice springs,-23.7,133.8833,296.9,17,0,6.17,AU,1667464108
10,kaitangata,-46.2817,169.8464,285.44,59,4,2.86,NZ,1667463929
11,santa cruz,-17.8,-63.1667,286.85,41,89,4.63,BO,1667464109
12,saskylakh,71.9167,114.0833,258.07,91,100,4.44,RU,1667463975
13,cajuru,-21.2753,-47.3042,285.23,95,100,3.1,BR,1667464110
14,dikson,73.5069,80.5464,272.1,99,100,4.48,RU,1667463989
15,new norfolk,-42.7826,147.0587,287.43,57,16,1.34,AU,1667463987
16,buckeye,33.3703,-112.5838,293.05,32,100,4.63,US,1667464111
17,luderitz,-26.6481,15.1594,291.9,59,100,2.65,NA,1667464111
18,kruisfontein,-34.0033,24.7314,296.42,44,82,3.99,ZA,1667463986
19,ushuaia,-54.8,-68.3,278.96,70,0,2.57,AR,1667463927
20,airai,-8.9266,125.4092,294.39,77,96,0.66,TL,1667464113
21,rikitea,-23.1203,-134.9692,294.1,68,99,5.94,PF,1667463916
22,fortuna,40.5982,-124.1573,277.23,97,100,3.09,US,1667464114
23,tasiilaq,65.6145,-37.6368,273.24,90,100,2.61,GL,1667464114
24,khatanga,71.9667,102.5,264.4,93,100,8.51,RU,1667464002
25,punta arenas,-53.15,-70.9167,280.21,76,0,10.29,CL,1667463964
26,ribeira grande,38.5167,-28.7,291.37,88,75,2.57,PT,1667464000
27,morgan city,29.6994,-91.2068,289.15,100,0,0.0,US,1667464116
28,tiksi,71.6872,128.8694,256.8,96,92,3.43,RU,1667464116
29,nuuk,64.1835,-51.7216,270.73,47,100,4.31,GL,1667464117
30,sitka,57.0531,-135.33,278.09,87,100,3.09,US,1667464118
31,victoria,22.2855,114.1577,297.25,88,100,3.58,HK,1667463643
32,chuy,-33.6971,-53.4616,282.2,74,0,2.64,UY,1667463934
33,hermanus,-34.4187,19.2345,293.6,86,100,5.98,ZA,1667463957
34,ancud,-41.8697,-73.8203,283.65,87,0,0.94,CL,1667463933
35,saldanha,-33.0117,17.9442,293.18,80,80,2.38,ZA,1667463943
36,roald,62.5833,6.1333,286.66,54,0,3.09,NO,1667464120
37,grindavik,63.8424,-22.4338,277.41,81,40,7.72,IS,1667464121
38,ostrovnoy,68.0531,39.5131,275.34,92,80,8.68,RU,1667464019
39,chumikan,54.7183,135.315,271.0,69,100,5.35,RU,1667464121
